Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,Distance/Energy Cost
A*,26,51.96,275707.88,18.15,,Energy Cost A*,26,51.96,275707.88,18.15,,0.0,5305.851311124351
A*,27,52.36,283045.22,19.74,,Energy Cost A*,27,52.36,283045.22,19.74,,0.0,5405.838934849453
A*,28,54.15,302621.1,19.86,,Energy Cost A*,28,54.15,302621.1,19.86,,0.0,5588.509770080186
A*,29,53.37,321499.86,20.33,,Energy Cost A*,29,53.37,321499.86,20.33,,0.0,6023.554446238672
A*,30,55.34,299429.73,20.46,,Energy Cost A*,30,55.34,299429.73,20.46,,0.0,5410.425720740158
A*,31,58.48,317783.64,21.2,,Energy Cost A*,31,58.48,317783.64,21.2,,0.0,5434.2279761926475
A*,32,63.27,348726.71,22.57,,Energy Cost A*,32,63.27,348726.71,22.57,,0.0,5511.693939599257
A*,33,65.47,344701.83,23.76,,Energy Cost A*,33,65.47,344701.83,23.76,,0.0,5265.219926989088
A*,34,67.34,374140.59,23.89,,Energy Cost A*,34,67.34,374140.59,23.89,,0.0,5555.756711604093
A*,35,66.79,372965.91,25.93,,Energy Cost A*,35,66.79,372965.91,25.93,,0.0,5583.999260251105
A*,36,68.57,390972.18,25.54,,Energy Cost A*,36,68.57,390972.18,25.54,,0.0,5701.642623907279
A*,37,69.18,409887.64,28.17,,Energy Cost A*,37,69.18,409887.64,28.17,,0.0,5924.521466118888
A*,38,73.47,467874.41,29.51,,Energy Cost A*,38,73.47,467874.41,29.51,,0.0,6368.1830569183385
A*,39,73.3,439768.69,28.46,,Energy Cost A*,39,73.3,439768.69,28.46,,0.0,5999.909456062538
A*,40,74.25,492300.36,30.08,,Energy Cost A*,40,74.25,492300.36,30.08,,0.0,6630.205272971505
A*,41,79.33,465492.52,30.44,,Energy Cost A*,41,79.33,465492.52,30.44,,0.0,5867.515790529997
A*,42,81.74,472143.32,30.61,,Energy Cost A*,42,81.74,472143.32,30.61,,0.0,5775.951386980273
A*,43,77.49,499691.11,32.38,,Energy Cost A*,43,77.49,499691.11,32.38,,0.0,6448.855025327532
A*,44,81.78,465962.69,31.13,,Energy Cost A*,44,81.78,465962.69,31.13,,0.0,5697.660923343026
A*,45,87.85,493945.05,32.59,,Energy Cost A*,45,87.85,493945.05,32.59,,0.0,5622.767850134041
A*,46,86.79,530463.35,33.55,,Energy Cost A*,46,86.79,530463.35,33.55,,0.0,6111.85123980719
A*,47,86.3,515635.51,34.04,,Energy Cost A*,47,86.3,515635.51,34.04,,0.0,5974.651160552327
A*,48,94.72,548020.99,36.18,,Energy Cost A*,48,94.72,548020.99,36.18,,0.0,5785.912529401022
A*,49,92.92,563463.62,38.13,,Energy Cost A*,49,92.92,563463.62,38.13,,0.0,6064.288241324803
A*,50,98.78,600298.55,38.54,,Energy Cost A*,50,98.78,600298.55,38.54,,0.0,6076.904620660567
A*,51,0,0,0.0,,Energy Cost A*,51,0,0,0.0,,0
A*,52,100.43,549274.03,37.1,,Energy Cost A*,52,100.43,549274.03,37.1,,0.0,5469.200510982108
A*,53,99.41,608376.69,39.1,,Energy Cost A*,53,99.41,608376.69,39.1,,0.0,6119.902683118744
